date,state,item,item_code,price,USD,ron95,usd_lag_30,usd_lag_60,ron95_lag_7,active_diesel_current,active_diesel_lag_7,active_diesel_lag_30,is_festive
2022-01-01,Kelantan,AYAM BERSIH - STANDARD,1.0,8.844714285714286,4.176,2.05,4.2265,4.149,2.05,2.15,2.15,2.15,0
2022-01-02,Kelantan,AYAM BERSIH - STANDARD,1.0,8.802456140350877,4.176,2.05,4.2285,4.1535,2.05,2.15,2.15,2.15,0
2022-01-03,Kelantan,AYAM BERSIH - STANDARD,1.0,8.837,4.171,2.05,4.2285,4.1535,2.05,2.15,2.15,2.15,0
2022-01-04,Kelantan,AYAM BERSIH - STANDARD,1.0,8.759649122807017,4.1815,2.05,4.2285,4.1595,2.05,2.15,2.15,2.15,0
2022-01-05,Kelantan,AYAM BERSIH - STANDARD,1.0,8.76551724137931,4.1905,2.05,4.224,4.1595,2.05,2.15,2.15,2.15,0
2022-01-06,Kelantan,AYAM BERSIH - STANDARD,1.0,8.756896551724138,4.202,2.05,4.2315,4.1595,2.05,2.15,2.15,2.15,0
2022-01-07,Kelantan,AYAM BERSIH - STANDARD,1.0,8.656379310344828,4.2025,2.05,4.2195,4.1555,2.05,2.15,2.15,2.15,0
2022-01-08,Kelantan,AYAM BERSIH - STANDARD,1.0,8.639137931034483,4.2025,2.05,4.211,4.152,2.05,2.15,2.15,2.15,0
2022-01-09,Kelantan,AYAM BERSIH - STANDARD,1.0,8.777719298245614,4.2025,2.05,4.2175,4.1513,2.05,2.15,2.15,2.15,0
2022-01-10,Kelantan,AYAM BERSIH - STANDARD,1.0,8.791617647058825,4.2013,2.05,4.2175,4.1625,2.05,2.15,2.15,2.15,0
2022-01-11,Kelantan,AYAM BERSIH - STANDARD,1.0,8.764259259259259,4.1928,2.05,4.2175,4.1678,2.05,2.15,2.15,2.15,0
2022-01-12,Kelantan,AYAM BERSIH - STANDARD,1.0,8.7598,4.1825,2.05,4.2085,4.1678,2.05,2.15,2.15,2.15,0
2022-01-13,Kelantan,AYAM BERSIH - STANDARD,1.0,8.71851111111111,4.1795,2.05,4.2335,4.1678,2.05,2.15,2.15,2.15,0
2022-01-14,Kelantan,AYAM BERSIH - STANDARD,1.0,8.677222222222222,4.1785,2.05,4.233,4.1585,2.05,2.15,2.15,2.15,0
2022-01-15,Kelantan,AYAM BERSIH - STANDARD,1.0,8.699285714285713,4.1785,2.05,4.231,4.161,2.05,2.15,2.15,2.15,0
2022-01-16,Kelantan,AYAM BERSIH - STANDARD,1.0,8.758518518518517,4.1785,2.05,4.2105,4.1795,2.05,2.15,2.15,2.15,0
2022-01-17,Kelantan,AYAM BERSIH - STANDARD,1.0,8.825820895522389,4.1845,2.05,4.2105,4.1798,2.05,2.15,2.15,2.15,0
2022-01-18,Kelantan,AYAM BERSIH - STANDARD,1.0,8.81037037037037,4.1845,2.05,4.2105,4.183,2.05,2.15,2.15,2.15,0
2022-01-19,Kelantan,AYAM BERSIH - STANDARD,1.0,8.786545454545454,4.1925,2.05,4.226,4.183,2.05,2.15,2.15,2.15,0
2022-01-20,Kelantan,AYAM BERSIH - STANDARD,1.0,8.790740740740741,4.1855,2.05,4.2115,4.183,2.05,2.15,2.15,2.15,0
2022-01-21,Kelantan,AYAM BERSIH - STANDARD,1.0,8.732631578947368,4.1865,2.05,4.21,4.188,2.05,2.15,2.15,2.15,0
2022-01-22,Kelantan,AYAM BERSIH - STANDARD,1.0,8.724107142857143,4.1865,2.05,4.206,4.1905,2.05,2.15,2.15,2.15,0
2022-01-23,Kelantan,AYAM BERSIH - STANDARD,1.0,8.778035714285714,4.1865,2.05,4.201,4.21,2.05,2.15,2.15,2.15,0
2022-01-24,Kelantan,AYAM BERSIH - STANDARD,1.0,8.845,4.1835,2.05,4.201,4.2275,2.05,2.15,2.15,2.15,0
2022-01-25,Kelantan,AYAM BERSIH - STANDARD,1.0,8.792280701754386,4.188,2.05,4.201,4.2425,2.05,2.15,2.15,2.15,1
2022-01-26,Kelantan,AYAM BERSIH - STANDARD,1.0,8.790526315789474,4.1905,2.05,4.1865,4.2425,2.05,2.15,2.15,2.15,1
2022-01-27,Kelantan,AYAM BERSIH - STANDARD,1.0,8.80109090909091,4.203,2.05,4.1835,4.2425,2.05,2.15,2.15,2.15,1
2022-01-28,Kelantan,AYAM BERSIH - STANDARD,1.0,8.775818181818183,4.192,2.05,4.1815,4.2395,2.05,2.15,2.15,2.15,1
2022-01-29,Kelantan,AYAM BERSIH - STANDARD,1.0,8.774,4.192,2.05,4.1705,4.2265,2.05,2.15,2.15,2.15,1
2022-01-30,Kelantan,AYAM BERSIH - STANDARD,1.0,8.786545454545454,4.192,2.05,4.176,4.205,2.05,2.15,2.15,2.15,1
2022-01-31,Kelantan,AYAM BERSIH - STANDARD,1.0,8.82578125,4.189,2.05,4.176,4.2265,2.05,2.15,2.15,2.15,1
2022-02-01,Kelantan,AYAM BERSIH - STANDARD,1.0,8.81494391025641,4.189,2.05,4.176,4.2285,2.05,2.15,2.15,2.15,1
2022-02-02,Kelantan,AYAM BERSIH - STANDARD,1.0,8.80410657051282,4.189,2.05,4.171,4.2285,2.05,2.15,2.15,2.15,0
